,English,Sphanish
0,arm,brazo
1,hair,cabello
2,alive,viva
3,Jill,Jill
4,bring,traer
5,tad,tad
6,passion,pasión
7,felt,sintió
8,done,hecho
9,Alexis,Alexis
10,ever,alguna vez
11,house,casa
12,brain,cerebro
13,sort,clasificar
14,it'll,va
15,drag,arrastrar
16,space,espacio
17,special,especial
18,bite,morder
19,Tom,Tomás
20,mine,Mia
21,fact,hecho
22,win,victoria
23,guest,huésped
24,murder,asesinato
25,doctor,médico
26,Nicholas,Nicholas
27,wonderful,maravilloso
28,everywhere,En todas partes
29,certainly,ciertamente
30,pay,pagar
31,la,la
32,pictures,fotos
33,within,dentro de
34,heavy,pesado
35,mistake,error
36,eye,ojo
37,Colleen,Muchacha
38,Zander,Zander
39,nick,mella
40,explain,explicar
41,keeps,mantiene
42,ready,Listo
43,army,Ejército
44,past,pasado
45,between,Entre
46,late,tarde
47,hope,esperanza
48,blue,azul
49,code,código
50,margo,margo
51,bout,combate
52,grow,crecer
53,broke,rompió
54,Aaron,Aaron
55,um,um
56,finished,terminado
57,piece,trozo
58,being,ser
59,today,hoy dia
60,lead,dirigir
61,alright,está bien
62,especially,especialmente
63,bitch,perra
64,except,excepto
65,birthday,cumpleaños
66,plane,avión
67,details,detalles
68,heat,calor
69,cause,porque
70,Kevin,Kevin
71,one's,unos
72,worry,preocuparse
73,we've,hemos
74,precious,precioso
75,perfect,Perfecto
76,secrets,misterios
77,page,página
78,mrs,Sra
79,Charles,Charles
80,sure,Por supuesto
81,according,según
82,quiet,tranquilo
83,beg,mendigar
84,pressure,presión
85,professor,profesor
86,bye,adiós
87,defense,defensa
88,Simon,Simón
89,fish,pez
90,considering,considerando
91,lies,mentiras
92,drink,beber
93,couch,sofá
94,Rachel,Rachel
95,aware,consciente
96,his,su
97,Lindsay,Lindsay
98,mm,mm
99,Livvie,Livvie
100,miles,millas
101,I've,He
102,break,pausa
103,information,información
104,Erica,Erica
105,p,pag
106,cream,crema
107,trial,juicio
108,lot,lote
109,offer,oferta
110,Rosanna,Rosanna
111,played,jugó
112,finish,terminar
113,willing,dispuesto
114,angry,enfadado
115,catch,captura
116,have,tener
117,monster,monstruo
118,famous,famoso
119,form,formulario
120,tape,cinta
121,spent,gastado
122,feed,alimentar
123,nurse,enfermero
124,station,estación
125,miss,extranar
126,talking,hablando
127,matter,asunto
128,spending,gasto
129,were,fueron
130,rest,descanso
131,someone,alguien
132,forever,para siempre
133,Taylor,Taylor
134,change,cambiar
135,fast,rápido
136,in,en
137,he's,él es
138,headed,con membrete
139,million,millón
140,upon,sobre
141,just,sólo
142,extra,extra
143,almost,casi
144,often,a menudo
145,honestly,honestamente
146,killer,asesino
147,cake,pastel
148,does,lo hace
149,nah,nah
150,burning,incendio
151,Keri,Keri
152,heart,corazón
153,staff,personal
154,music,música
155,size,Talla
156,boring,aburrido
157,share,Cuota
158,add,agregar
159,born,Nació
160,yours,tuyo
161,wine,vino
162,moved,movido
163,laugh,reír
164,Chandler,Velero
165,round,redondo
166,saved,salvado
167,nothing's,No hay nada
168,condition,condición
169,Allison,Allison
170,c,C
171,others,otros
172,arrested,detenido
173,beginning,comenzando
174,lay,poner
175,flying,volador
176,bear,soportar
177,crane,grua
178,lawyer,abogado
179,secret,secreto
180,little,pequeño
181,confused,confundido
182,bunch,racimo
183,eating,comiendo
184,cut,recorte
185,books,libros
186,learn,aprender
187,idea,ocurrencia
188,sense,sentido
189,are,son
190,harmony,armonía
191,fill,llenar
192,glad,contento
193,inside,dentro
194,how's,la forma de
195,Katie,Katie
196,uh,Oh
197,closer,más cerca
198,married,casado
199,quit,renunciar
200,evening,noche
201,horse,caballo
202,head,cabeza
203,killing,asesinato
204,g,gramo
205,Sarah,Sarah
206,Mr,Señor
207,no,No
208,film,película
209,sing,canta
210,throwing,lanzamiento
211,hi,Hola
212,ass,culo
213,never,Nunca
214,York,York
215,later,luego
216,listen,escuchar
217,next,próximo
218,vote,votar
219,end,fin
220,men,hombres
221,ohh,Oh
222,how,cómo
223,ran,corrió
224,doin,doin
225,honey,miel
226,kiss,Beso
227,oh,Oh
228,criminal,delincuente
229,ticket,billete
230,less,menos
231,leg,pierna
232,advantage,ventaja
233,blew,sopló
234,planning,planificación
235,tells,dice
236,thanks,Gracias
237,off,apagado
238,b,B
239,its,su
240,deal,trato
241,witch,bruja
242,pack,paquete
243,city,ciudad
244,issue,asunto
245,it's,es
246,at,a
247,David,David
248,Elizabeth,Elizabeth
249,tell,contar
250,detective,detective
251,agree,de acuerdo
252,covered,cubierto
253,mia,desaparecido en combate
254,straight,derecho
255,board,tablero
256,using,utilizando
257,walking,para caminar
258,doing,haciendo
259,sight,vista
260,upstairs,piso de arriba
261,mister,señor
262,anyone,alguien
263,greatest,mayor
264,queen,reina
265,hundred,centenar
266,says,dice
267,minutes,minutos
268,video,video
269,Ryan,Ryan
270,x,X
271,dress,vestir
272,where's,donde de
273,medical,médico
274,growing,creciente
275,fan,ventilador
276,brown,marrón
277,three,Tres
278,meaning,sentido
279,flight,vuelo
280,kinda,un poco
281,gave,dio
282,having,teniendo
283,excuse,excusa
284,normal,normal
285,lives,vive
286,nobody,nadie
287,apart,aparte
288,street,calle
289,short,pequeño
290,quite,bastante
291,surprised,sorprendido
292,burn,quemar
293,voice,voz
294,red,rojo
295,read,leer
296,ex,ex
297,west,Oeste
298,Kay,Kay
299,leo,León
300,alcazar,alcázar
301,like,como
302,I'll,voy a
303,student,estudiante
304,hard,duro
305,speech,habla
306,money,dinero
307,magic,magia
308,it'd,Sería
309,stuck,atascado
310,bed,cama
311,assume,asumir
312,Jimmy,Palanqueta
313,tea,té
314,seven,Siete
315,pizza,Pizza
316,planned,planificado
317,paying,pago
318,smile,sonrisa
319,give,dar
320,road,la carretera
321,game,juego
322,opened,abrió
323,second,segundo
324,news,noticias
325,call,llamada
326,baby,bebé
327,movies,películas
328,brilliant,brillante
329,took,tomó
330,gold,oro
331,law,ley
332,move,moverse
333,buy,comprar
334,copy,Copiar
335,without,sin
336,enemy,enemigo
337,with,con
338,dr,Dr
339,shower,ducha
340,Kyle,Kyle
341,daughter,hija
342,Simone,Simone
343,force,fuerza
344,games,juegos
345,sit,sentar
346,used,usado
347,desperate,desesperado
348,guy's,tipo
349,l,l
350,window,ventana
351,pop,música pop
352,left,izquierda
353,Isabella,Isabela
354,shh,shh
355,work,trabajo
356,kept,conservó
357,Antonio,Antonio
358,lock,cerrar con llave
359,empty,vacío
360,Sabrina,Sabrina
361,nice,bonito
362,breaking,rotura
363,man,hombre
364,play,tocar
365,if,Si
366,father,padre
367,moon,Luna
368,standing,de pie
369,reading,leyendo
370,business,negocio
371,Miguel,Miguel
372,is,es
373,parents,padres
374,Forrester,Forrester
375,Stephanie,Stephanie
376,anymore,ya no
377,anywhere,en cualquier lugar
378,art,Arte
379,our,Ntra
380,behavior,comportamiento
381,schedule,calendario
382,Rose,Rosa
383,more,más
384,center,centrar
385,hired,Contratado
386,mama,mamá
387,Chloe,Chloe
388,usually,generalmente
389,happening,sucediendo
390,suggest,sugerir
391,cover,cubrir
392,possible,posible
393,orders,pedidos
394,one,uno
395,important,importante
396,themselves,ellos mismos
397,asked,preguntó
398,they'd,Habían
399,yes,sí
400,m,metro
401,keep,guardar
402,hate,odio
403,has,posee
404,time,tiempo
405,Jennifer,jennifer
406,least,menos
407,through,mediante
408,eight,ocho
409,visit,visitar
410,think,pensar
411,everybody's,de todo el mundo
412,sick,enfermo
413,we're,fueron
414,o'clock,en punto
415,Phillip,Phillip
416,wall,pared
417,pass,pasar
418,pretty,bonita
419,quick,rápido
420,your,tu
421,screw,tornillo
422,Monica,Mónica
423,Tony,tony
424,alone,solo
425,shoes,Zapatos
426,Maria,maria
427,position,posición
428,careful,Cuidado
429,return,regresar
430,got,obtuvo
431,fair,justa
432,girl,niña
433,starting,a partir de
434,sake,motivo
435,Danny,Danny
436,gee,Caramba
437,career,carrera profesional
438,umm,umm
439,e,mi
440,dinner,cena
441,nope,no
442,gosh,Dios mio
443,speed,velocidad
444,invite,invitación
445,positive,positivo
446,saving,ahorro
447,continue,Seguir
448,reach,alcanzar
449,should,debería
450,please,por favor
451,new,nuevo
452,ways,formas
453,by,por
454,settle,asentar
455,not,no
456,gwen,Gwen
457,fix,arreglar
458,fresh,nuevo
459,book,libro
460,enough,suficiente
461,records,registros
462,harder,más difícil
463,they've,ellos tienen
464,happiness,felicidad
465,became,se convirtió
466,busy,ocupado
467,re,re
468,passed,aprobado
469,stop,detener
470,idiot,idiota
471,hat,sombrero
472,built,construido
473,hadn't,no tenía
474,perhaps,quizás
475,jail,celda
476,allowed,permitido
477,told,dijo
478,makes,hace
479,wonder,preguntarse
480,coffee,café
481,worst,peor
482,loose,suelto
483,admit,admitir
484,any,ninguna
485,everything's,todo está
486,picked,escogido
487,cry,llorar
488,Laura,Laura
489,forgive,perdonar
490,roz,Roz
491,shows,espectáculos
492,ride,montar
493,closed,cerrado
494,twice,dos veces
495,locked,bloqueada
496,naked,desnudo
497,remind,recordar
498,marriage,matrimonio
499,surprise,sorpresa
500,curious,curioso
501,freak,fenómeno
502,funny,divertido
503,sees,ve
504,coat,Saco
505,came,llegó
506,age,edad
507,name,nombre
508,either,cualquiera
509,see,ver
510,Julian,Julian
511,rid,deshacerse
512,appointment,cita
513,John,Juan
514,support,apoyo
515,st,S t
516,sleeping,dormido
517,Jamal,Jamal
518,ugh,puaj
519,spell,deletrear
520,tonight,esta noche
521,world,mundo
522,sister,hermana
523,words,palabras
524,drive,conducir
525,movie,película
526,final,final
527,someplace,en algún lugar
528,y'know,sabes
529,eh,eh
530,airport,aeropuerto
531,Phoebe,Phoebe
532,had,tenía
533,cell,celda
534,company,empresa
535,leaves,sale de
536,use,utilizar
537,wedding,boda
538,shopping,compras
539,out,afuera
540,rock,rock
541,somewhere,algun lado
542,attorney,abogado
543,clear,claro
544,partner,pareja
545,type,escribe
546,captain,capitán
547,exciting,excitante
548,dry,seco
549,pal,camarada
550,number,número
551,haven't,no tiene
552,written,escrito
553,all,todos
554,grade,calificación
555,otherwise,de lo contrario
556,engaged,comprometido
557,Scott,scott
558,she,ella
559,half,medio
560,ma'am,señora
561,seen,visto
562,Edmund,Edmund
563,band,banda
564,whose,cuyo
565,found,encontró
566,message,mensaje
567,understand,comprender
568,Steve,Steve
569,Shawn,Shawn
570,public,público
571,s,s
572,something's,algunas cosas
573,lately,últimamente
574,swear,jurar
575,luck,suerte
576,as,como
577,case,caso
578,make,hacer
579,morning,Mañana
580,her,ella
581,would've,he Would
582,school,escuela
583,de,Delaware
584,here's,aquí está
585,a,un/una
586,there's,hay
587,whatever,lo que
588,closet,armario
589,loud,fuerte
590,demon,demonio
591,try,intentar
592,boyfriend,novio
593,begin,comenzar
594,ain't,no es
595,grandma,abuela
596,dressed,vestido
597,beautiful,hermosa
598,skin,piel
599,total,total
600,home,casa
601,besides,además
602,plenty,mucho
603,apartment,Departamento
604,happy,contento
605,everyone,todos
606,outside,fuera de
607,Billy,Porra
608,somehow,de alguna manera
609,k,k
610,pushing,emprendedor
611,cat,gato
612,ring,anillo
613,lonely,solitario
614,card,tarjeta
615,though,sin embargo
616,shot,Disparo
617,shock,choque
618,santa,Papa Noel
619,write,escribir
620,dirty,sucio
621,maybe,quizás
622,consider,considerar
623,act,Actuar
624,fighting,lucha
625,keys,teclas
626,Victor,Víctor
627,aw,aw
628,she's,ella es
629,always,siempre
630,fake,falso
631,herself,sí misma
632,necessary,necesario
633,threw,tiró
634,Larry,Larry
635,u,u
636,won,ganado
637,Chris,Chris
638,Cassie,Cassie
639,fall,otoño
640,help,ayuda
641,beauty,belleza
642,gotta,tengo que
643,focus,atención
644,Ned,Ned
645,responsibility,responsabilidad
646,prepared,preparado
647,advice,Consejo
648,comes,viene
649,hates,odios
650,judge,juez
651,wanna,querer
652,record,registro
653,turns,vueltas
654,probably,probablemente
655,girls,muchachas
656,asa,como un
657,dad,padre
658,lose,perder
659,sounds,sonidos
660,gorgeous,precioso
661,getting,consiguiendo
662,looking,buscando
663,general,general
664,brought,trajo
665,hold,retener
666,their,sus
667,checking,comprobación
668,however,sin embargo
669,practically,prácticamente
670,Stenbeck,Stenbeck
671,sleep,dormir
672,chief,jefe
673,Theresa,Hay una
674,there,allí
675,Rory,Rory
676,power,poder
677,flowers,flores
678,town,ciudad
679,apparently,aparentemente
680,Troy,Troy
681,port,Puerto
682,clearly,claramente
683,blind,ciego
684,Parker,Parker
685,due,vencer
686,nose,nariz
687,an,un
688,Bridget,Bridget
689,history,historia
690,charity,caridad
691,blow,soplo
692,playing,jugando
693,convince,convencer
694,better,mejor
695,concern,preocupación
696,simple,sencillo
697,crying,llanto
698,thirty,treinta
699,ben,ben
700,interest,interesar
701,r,r
702,picture,imagen
703,seeing,vidente
704,earlier,más temprano
705,c'mon,vamos
706,scary,de miedo
707,Mitch,Mitch
708,you've,tienes
709,serious,grave
710,innocent,inocente
711,beyond,más allá de
712,spoke,habló
713,whenever,cuando sea
714,impossible,imposible
715,Elaine,Elaine
716,followed,seguido
717,now,ahora
718,notice,aviso
719,Isaac,Isaac
720,bo,bo
721,Jackson,Jackson
722,instead,en lugar de
723,immediately,inmediatamente
724,memories,recuerdos
725,him,él
726,whoa,whoa
727,agreed,acordado
728,fire,fuego
729,much,mucho
730,raise,aumentar
731,dream,sueño
732,wrote,escribió
733,area,zona
734,bastard,Bastardo
735,years,años
736,Brooke,Brooke
737,sex,sexo
738,problems,problemas
739,Josh,Josh
740,certain,cierto
741,ideas,Ideas
742,air,aire
743,choice,elección
744,dear,Estimado
745,Adam,Adán
746,state,estado
747,you'd,que había
748,could've,podría haber
749,tree,árbol
750,hearing,audiencia
751,tough,difícil
752,same,mismo
753,tight,ajustado
754,Liz,Liz
755,Diane,Diane
756,ok,OK
757,hated,odiado
758,absolutely,absolutamente
759,making,haciendo
760,celebrate,celebrar
761,falling,descendente
762,correct,correcto
763,client,cliente
764,feels,siente
765,familiar,familiar
766,myself,yo mismo
767,pull,jalar
768,ed,ed
769,Brenda,Brenda
770,wouldn't,no lo haría
771,showing,demostración
772,shit,mierda
773,bloody,sangriento
774,loves,ama
775,strong,fuerte
776,he'll,infierno
777,Saturday,sábado
778,steal,robar
779,pushed,empujado
780,Jen,Jen
781,build,construir
782,y,y
783,Edward,Eduardo
784,tickets,Entradas
785,liza,liza
786,from,desde
787,Ivy,Hiedra
788,hole,agujero
789,Craig,Craig
790,ú,ú
791,rather,bastante
792,given,dado
793,afford,poder pagar
794,nature,naturaleza
795,I,Yo
796,responsible,responsable
797,group,grupo
798,light,luz
799,nine,nueve
800,Starr,Starr
801,place,sitio
802,Rebecca,Rebecca
803,front,parte delantera
804,running,corriendo
805,ridge,cresta
806,hour,hora
807,Olivia,Olivia
808,report,reporte
809,dangerous,peligroso
810,day,día
811,risk,riesgo
812,you're,estás
813,wait,Espere
814,pool,piscina
815,part,parte
816,ship,Embarcacion
817,bomb,bomba
818,to,para
819,weeks,semanas
820,hang,colgar
821,thinking,pensando
822,country,país
823,champagne,champán
824,love,amor
825,ladies,señoras
826,hoping,esperando
827,different,diferente
828,push,empujar
829,charges,cargos
830,Caleb,Caleb
831,they,ellos
832,carrying,que lleva
833,obvious,obvio
834,us,nosotros
835,let,dejar
836,white,blanco
837,interesting,interesante
838,planet,planeta
839,split,separar
840,Kramer,Kramer
841,wind,viento
842,mom's,la mamá de
843,can,puede
844,care,cuidado
845,four,cuatro
846,staying,estancia
847,comfortable,cómodo
848,major,importante
849,press,Prensa
850,key,clave
851,star,estrella
852,show,show
853,he'd,había
854,longer,más extenso
855,I'd,Identificación
856,powerful,poderoso
857,finding,hallazgo
858,witness,testigo
859,Alex,Alex
860,contact,contacto
861,Michelle,Michelle
862,months,meses
863,calls,llamadas
864,here,aquí
865,sent,enviado
866,talk,hablar
867,invited,invitado
868,against,en contra
869,Karen,Karen
870,mail,correo
871,mom,mamá
872,guys,tipo
873,anyway,de todas formas
874,thank,gracias
875,crash,choque
876,jack,Jacobo
877,lost,perdió
878,easier,más fácil
879,machine,máquina
880,prison,prisión
881,favor,favor
882,only,solamente
883,someone's,de alguien
884,Jason,Jason
885,search,búsqueda
886,mac,Mac
887,outta,Sal de
888,decided,decidió
889,grab,tomar
890,waste,desperdicio
891,mother's,la madre de
892,Paige,Paige
893,gives,da
894,hand,mano
895,free,libre
896,bit,poco
897,respect,respeto
898,above,encima
899,opportunity,oportunidad
900,corner,esquina
901,silly,tonto
902,park,parque
903,Frasier,Frasier
904,ugly,feo
905,suppose,suponer
906,roof,techo
907,beach,playa
908,sad,triste
909,complete,completo
910,hurting,daño
911,onto,sobre
912,works,obras
913,action,acción
914,car,coche
915,expected,esperado
916,investigation,investigación
917,yeah,Si
918,low,bajo
919,danger,peligro
920,question,pregunta
921,Fraser,Fraser
922,ahh,Ah
923,door,puerta
924,soul,alma
925,watch,reloj
926,Bob,Beto
927,send,enviar
928,Sami,Sami
929,n,norte
930,do,hacer
931,whoever,quien
932,seem,parecer
933,till,hasta que
934,damn,maldita sea
935,phone,teléfono
936,hall,sala
937,sooner,cuanto antes
938,wear,vestir
939,holy,santo
940,ridiculous,ridículo
941,eventually,finalmente
942,how'd,¿cómo
943,guilty,culpable
944,across,al otro lado de
945,babies,bebés
946,Cristian,Cristian
947,stopped,detenido
948,room,habitación
949,jerk,imbécil
950,bought,compró
951,san,san
952,hello,Hola
953,take,llevar
954,my,mi
955,lived,vivido
956,bus,autobús
957,moving,Moviente
958,blood,sangre
959,marah,marah
960,dog,perro
961,what's,qué
962,poor,pobre
963,Whitney,Whitney
964,turning,torneado
965,song,canción
966,custody,custodia
967,Charlie,Charlie
968,post,correo
969,trick,truco
970,who,OMS
971,likes,gustos
972,colonel,coronel
973,neck,cuello
974,mark,marca
975,Vanessa,Vanessa
976,don't,no hacer
977,we'd,casarse
978,grown,crecido
979,stole,estola
980,afternoon,tarde
981,ow,Ay
982,color,color
983,Eric,Eric
984,including,incluso
985,aren't,no son
986,tests,pruebas
987,folks,muchachos
988,means,medio
989,tomorrow,mañana
990,can't,hipocresía
991,follow,seguir
992,dead,muerto
993,birth,nacimiento
994,unless,a no ser que
995,dark,oscuro
996,miserable,miserable
997,thinks,piensa
998,arrest,arrestar
999,goin,entra
1000,frank,franco
1001,every,todos
1002,cross,cruzar
1003,fine,multa
1004,shut,cerrar
1005,ordered,ordenado
1006,knife,cuchillo
1007,appreciate,agradecer
1008,isn't,no es
1009,Viki,Viki
1010,than,que
1011,living,viviendo
1012,belle,beldad
1013,losing,perdiendo
1014,giving,donación
1015,helped,ayudado
1016,I'm,estoy
1017,really,De Verdad
1018,following,siguiente
1019,go,Vamos
1020,man's,del hombre
1021,American,americano
1022,figure,figura
1023,called,llamada
1024,perfectly,perfectamente
1025,Alan,Alan
1026,something,algo
1027,plans,planes
1028,department,Departamento
1029,colin,colin
1030,asking,preguntando
1031,hook,gancho
1032,job,trabajo
1033,these,estas
1034,diego,Diego
1035,downstairs,abajo
1036,join,unirse
1037,darling,querida
1038,Chad,Chad
1039,biggest,más grande
1040,until,hasta
1041,walk,caminar
1042,fool,tonto
1043,merry,alegre
1044,entire,completo
1045,suspect,sospechar
1046,put,poner
1047,nobody's,de nadie
1048,signed,firmado
1049,nbsp,nbsp
1050,lovely,encantador
1051,Tess,Tess
1052,piper,gaitero
1053,remember,recordar
1054,fun,divertida
1055,beat,derrotar
1056,girlfriend,Novia
1057,soon,pronto
1058,study,estudiar
1059,restaurant,restaurante
1060,gay,homosexual
1061,interested,interesado
1062,fucking,maldito
1063,crap,tonterías
1064,child,niño
1065,doesn't,no hace
1066,mother,madre
1067,actually,Realmente
1068,personally,personalmente
1069,the,la
1070,needs,necesidades
1071,box,caja
1072,control,control
1073,paid,pagado
1074,tired,cansado
1075,eyes,ojos
1076,touch,tocar
1077,liar,mentiroso
1078,dean,decano
1079,seat,asiento
1080,social,social
1081,convinced,convencido
1082,around,alrededor
1083,they'll,Van a
1084,Daphne,Dafne
1085,days,dias
1086,romantic,romántico
1087,someday,algún día
1088,boat,bote
1089,character,personaje
1090,lie,mentir
1091,that'll,eSO
1092,keeping,acuerdo
1093,or,o
1094,war,guerra
1095,real,verdadero
1096,Abigail,Abigail
1097,lips,labios
1098,beer,cerveza
1099,Sharon,Sharon
1100,Austin,Austin
1101,sonny,hijo
1102,need,necesitar
1103,killed,delicado
1104,congratulations,Felicidades
1105,great,genial
1106,might,puede que
1107,toast,brindis
1108,bar,bar
1109,hey,Oye
1110,cares,cuidados
1111,dude,amigo
1112,sweetie,cariño
1113,family,familia
1114,cards,tarjetas
1115,first,primero
1116,we,nosotros
1117,bottom,fondo
1118,missing,desaparecido
1119,order,orden
1120,Joey,Joey
1121,drunk,borracho
1122,waiting,esperando
1123,dare,atrevimiento
1124,hanging,colgante
1125,finally,por fin
1126,mmm,mmm
1127,Rick,Almiar
1128,stick,palo
1129,Luis,Luis
1130,relax,relajarse
1131,acting,interino
1132,mommy,mamá
1133,doctors,médicos
1134,right,derecho
1135,tie,Corbata
1136,watching,mirando
1137,thought,pensamiento
1138,dad's,El padre de
1139,telling,narración
1140,expecting,esperando
1141,look,Mira
1142,hungry,hambriento
1143,ray,rayo
1144,strange,extraño
1145,named,llamado
1146,island,isla
1147,best,mejor
1148,let's,vamos
1149,feelings,sentimientos
1150,bottle,botella
1151,promise,promesa
1152,screwed,atornillado
1153,Jake,Jake
1154,realized,dio cuenta
1155,shooting,tiroteo
1156,regret,arrepentirse
1157,shoot,disparo
1158,feel,sentir
1159,third,tercera
1160,nightmare,pesadilla
1161,worked,trabajó
1162,bother,molestar
1163,future,futuro
1164,t,t
1165,forgotten,olvidado
1166,where,donde
1167,away,fuera
1168,working,laboral
1169,you,tú
1170,lord,señor
1171,worse,peor
1172,apologize,pedir disculpas
1173,er,er
1174,talked,habló
1175,Carly,Carly
1176,Kendall,Kendall
1177,Lily,Lirio
1178,trouble,problema
1179,sweetheart,cariño
1180,putting,poniendo
1181,taking,tomando
1182,surgery,cirugía
1183,himself,él mismo
1184,cute,linda
1185,although,a pesar de que
1186,yourself,usted mismo
1187,th,º
1188,private,privado
1189,doc,Doc
1190,rush,prisa
1191,team,equipo
1192,divorce,divorcio
1193,full,completo
1194,attitude,actitud
1195,credit,crédito
1196,find,encontrar
1197,stupid,estúpido
1198,damage,daño
1199,said,dicho
1200,thousand,mil
1201,brothers,hermanos
1202,takes,acepta
1203,south,Sur
1204,forget,olvidar
1205,count,contar
1206,address,Dirección
1207,once,una vez
1208,bank,Banco
1209,al,Alabama
1210,breath,respiración
1211,able,poder
1212,bigger,más grande
1213,didn't,no lo hizo
1214,bright,brillante
1215,system,sistema
1216,kick,patear
1217,high,elevado
1218,clue,pista
1219,everybody,todos
1220,Sam,Sam
1221,buying,comprar
1222,course,curso
1223,it,eso
1224,uncle,tío
1225,horrible,horrible
1226,scared,asustado
1227,fired,despedido
1228,usual,usual
1229,knowing,conocimiento
1230,sending,enviando
1231,president,presidente
1232,Philip,Philip
1233,black,negro
1234,yep,sí
1235,match,partido
1236,two,dos
1237,what,qué
1238,forgot,olvidó
1239,hardly,difícilmente
1240,death,muerte
1241,definitely,definitivamente
1242,whether,ya sea
1243,before,antes de
1244,capable,capaz
1245,too,también
1246,radio,radio
1247,anything,cualquier cosa
1248,legs,piernas
1249,doubt,duda
1250,become,volverse
1251,reason,razón
1252,small,pequeño
1253,seriously,seriamente
1254,promised,prometido
1255,treated,tratada
1256,cop,policía
1257,file,expediente
1258,scare,susto
1259,bedroom,habitación
1260,smart,inteligente
1261,sisters,hermanas
1262,ended,terminado
1263,live,En Vivo
1264,pleasure,Placer
1265,land,tierra
1266,couldn't,no podía
1267,woman,mujer
1268,reva,Reva
1269,yet,aún
1270,Alison,Alison
1271,foot,pie
1272,difference,diferencia
1273,j,j
1274,Paris,París
1275,list,lista
1276,kissing,besos
1277,good,bien
1278,ho,Ho
1279,chair,silla
1280,rule,regla
1281,building,edificio
1282,water,agua
1283,up,arriba
1284,rules,reglas
1285,pretend,pretender
1286,safe,a salvo
1287,scene,escena
1288,finger,dedo
1289,paint,pintura
1290,expect,suponer
1291,excellent,excelente
1292,Nicole,Nicole
1293,carry,llevar
1294,completely,completamente
1295,enjoy,disfrutar
1296,ruin,ruina
1297,heard,Escuchó
1298,candy,dulce
1299,should've,debería haber
1300,Henry,Enrique
1301,God's,Dioses
1302,terrible,terrible
1303,who's,quién está
1304,present,regalo
1305,dollar,dólar
1306,princess,princesa
1307,why,por qué
1308,turned,transformado
1309,saying,dicho
1310,reasons,razones
1311,writing,escribiendo
1312,calling,vocación
1313,dance,danza
1314,clothes,ropa
1315,driving,conduciendo
1316,believed,creído
1317,slow,lento
1318,Nikolas,Nikolas
1319,caused,causado
1320,badly,gravemente
1321,cole,col
1322,human,humano
1323,shop,tienda
1324,Jess,Cadena
1325,f,F
1326,grace,gracia
1327,floor,piso
1328,dropped,caído
1329,few,pocos
1330,wanting,falto
1331,recognize,reconocer
1332,complicated,Complicado
1333,further,más lejos
1334,kitchen,cocina
1335,knows,sabe
